id,gestion,gf,geaov,total,created_at,updated_at
33,2016,1650477623.0,,1650477623.0,1763473123053.68,1763473123053.68
35,2018,1854716285.0,5479424.0,1860195709.0,1763473123053.68,1763473123053.68
42,2025,521241347.0,1196440491.0,1717681838.0,1763473123053.68,1763473123053.68
36,2019,1419443018.0,493939239.0,1913382257.0,1763473123053.68,1763473123053.68
38,2021,815433711.0,1223318418.0,2038752129.0,1763473123053.68,1763473123053.68
34,2017,1764257581.0,,1764257581.0,1763473123053.68,1763473123053.68
41,2024,501623320.0,1846662516.0,2348285836.0,1763473123053.68,1763473123053.68
40,2023,464707627.0,1836756554.0,2301464181.0,1763473123053.68,1763473123053.68
37,2020,689270424.0,884125039.0,1573395463.0,1763473123053.68,1763473123053.68
39,2022,555366103.0,1639226109.0,2194592211.0,1763473123053.68,1763473123053.68
