id,meses,do,jf,Gasolina,gestiones,created_at
116,agosto,5245.74,4036.19,18917.34,2024,1763451179984.032
87,marzo,8921.4,3084.32,20076.66,2022,1763451179984.032
71,noviembre,13423.0,2212.77,25248.76,2020,1763451179984.032
68,agosto,13661.0,1288.01,22571.18,2020,1763451179984.032
51,marzo,9925.0,3564.45,18504.2,2019,1763451179984.032
80,agosto,10082.57,3165.46,21875.79,2021,1763451179984.032
70,octubre,14076.0,1374.71,25965.75,2020,1763451179984.032
52,abril,9031.0,3747.82,17959.06,2019,1763451179984.032
84,diciembre,8844.38,2742.31,20017.01,2021,1763451179984.032
92,agosto,7277.71,3324.36,18404.88,2022,1763451179984.032
101,mayo,6416.29,3323.9,16420.77,2023,1763451179984.032
69,septiembre,15296.0,1343.93,28017.32,2020,1763451179984.032
115,julio,5170.16,3740.68,16522.05,2024,1763451179984.032
114,junio,4543.94,3568.59,16072.37,2024,1763451179984.032
60,diciembre,13183.0,4418.94,23471.16,2019,1763451179984.032
97,enero,6460.4,3835.33,19530.94,2023,1763451179984.032
112,abril,5509.99,3533.03,15912.61,2024,1763451179984.032
108,diciembre,5198.24,3766.59,17163.04,2023,1763451179984.032
22,octubre,16324.0,3712.02,23759.84,2016,1763451179984.032
59,noviembre,12102.0,1875.78,18400.51,2019,1763451179984.032
65,mayo,8461.0,164.97,13806.1,2020,1763451179984.032
127,julio,3573.58,2913.16,13084.93,2025,1763451179984.032
124,abril,3792.55,3079.13,14036.78,2025,1763451179984.032
98,febrero,6764.17,3487.73,18824.37,2023,1763451179984.032
73,enero,11827.45,2017.49,23222.58,2021,1763451179984.032
103,julio,5410.68,2998.65,16676.56,2023,1763451179984.032
44,agosto,13587.0,3964.29,23358.56,2018,1763451179984.032
11,noviembre,16439.0,4070.02,19342.97,2015,1763451179984.032
42,junio,15862.0,3814.99,25374.41,2018,1763451179984.032
121,enero,3989.85,3093.74,14715.56,2025,1763451179984.032
117,septiembre,4037.36,3518.01,14749.93,2024,1763451179984.032
88,abril,9374.25,2512.59,21307.25,2022,1763451179984.032
82,octubre,8902.57,2541.58,19976.75,2021,1763451179984.032
125,mayo,3538.17,2444.37,12179.47,2025,1763451179984.032
119,noviembre,4399.23,3772.11,17885.27,2024,1763451179984.032
113,mayo,4827.98,3844.62,16905.05,2024,1763451179984.032
40,abril,15719.0,3896.86,22129.38,2018,1763451179984.032
43,julio,15141.0,4026.64,23875.79,2018,1763451179984.032
9,septiembre,18975.0,3558.81,18466.33,2015,1763451179984.032
120,diciembre,3915.93,3334.79,14689.69,2024,1763451179984.032
15,marzo,15960.0,4329.2,23083.12,2016,1763451179984.032
79,julio,12151.96,2399.54,23911.99,2021,1763451179984.032
48,diciembre,8923.0,3210.77,17321.45,2018,1763451179984.032
26,febrero,11458.0,4195.53,20010.46,2017,1763451179984.032
85,enero,9301.04,2943.96,19896.99,2022,1763451179984.032
72,diciembre,12091.0,3258.29,24393.63,2020,1763451179984.032
95,noviembre,6179.28,3516.09,19719.41,2022,1763451179984.032
57,septiembre,10631.0,4562.89,20314.0,2019,1763451179984.032
81,septiembre,9607.84,2613.12,20513.14,2021,1763451179984.032
61,enero,13006.0,3994.24,27203.65,2020,1763451179984.032
19,julio,15570.0,4065.41,25508.65,2016,1763451179984.032
77,mayo,11717.31,2702.47,23378.42,2021,1763451179984.032
30,junio,14554.0,3970.57,24484.58,2017,1763451179984.032
21,septiembre,16680.0,4218.89,25955.44,2016,1763451179984.032
3,marzo,17482.0,4650.81,18985.73,2015,1763451179984.032
17,mayo,16405.0,4194.92,25379.5,2016,1763451179984.032
37,enero,14422.0,4339.14,23173.33,2018,1763451179984.032
28,abril,14936.0,3908.11,22873.68,2017,1763451179984.032
104,agosto,5544.68,3867.73,17684.17,2023,1763451179984.032
5,mayo,18481.0,4033.75,17444.64,2015,1763451179984.032
56,agosto,11998.0,3902.27,20732.58,2019,1763451179984.032
91,julio,8160.2,3874.72,19729.0,2022,1763451179984.032
74,febrero,10610.91,2193.44,18847.96,2021,1763451179984.032
54,junio,11121.0,3639.99,20644.25,2019,1763451179984.032
29,mayo,16340.0,3903.19,25523.2,2017,1763451179984.032
4,abril,18099.0,4907.8,19609.05,2015,1763451179984.032
34,octubre,15197.0,4244.3,25673.9,2017,1763451179984.032
96,diciembre,7837.15,3221.7,19163.28,2022,1763451179984.032
83,noviembre,9325.21,1974.21,18758.65,2021,1763451179984.032
67,julio,13159.0,721.46,21104.98,2020,1763451179984.032
63,marzo,10863.0,2149.14,20418.02,2020,1763451179984.032
90,junio,8793.32,3389.36,20376.39,2022,1763451179984.032
10,octubre,17997.0,4014.13,21385.25,2015,1763451179984.032
105,septiembre,5456.53,4037.67,17775.29,2023,1763451179984.032
35,noviembre,15036.0,4334.29,23503.87,2017,1763451179984.032
45,septiembre,15698.0,3910.03,24705.0,2018,1763451179984.032
107,noviembre,5563.31,3373.94,17256.85,2023,1763451179984.032
6,junio,17747.0,4207.07,19499.58,2015,1763451179984.032
86,febrero,9208.74,2781.58,20906.71,2022,1763451179984.032
39,marzo,16103.0,3742.38,24135.83,2018,1763451179984.032
93,septiembre,7499.91,3518.57,18262.4,2022,1763451179984.032
89,mayo,8624.59,3099.22,19519.78,2022,1763451179984.032
36,diciembre,14227.0,4035.62,24155.75,2017,1763451179984.032
31,julio,15785.0,4058.21,24221.44,2017,1763451179984.032
50,febrero,15231.0,4149.95,25844.71,2019,1763451179984.032
102,junio,5564.56,3165.65,16672.69,2023,1763451179984.032
14,febrero,16145.0,4410.25,22492.7,2016,1763451179984.032
66,junio,11581.0,454.7,19621.61,2020,1763451179984.032
109,enero,5502.04,3546.77,17214.22,2024,1763451179984.032
13,enero,16958.0,3568.1,23756.8,2016,1763451179984.032
118,octubre,4019.32,3472.88,14882.36,2024,1763451179984.032
111,marzo,5627.72,3095.5,17987.69,2024,1763451179984.032
2,febrero,15609.0,3769.06,17068.01,2015,1763451179984.032
16,abril,15835.0,3767.24,23320.64,2016,1763451179984.032
62,febrero,13303.0,2978.2,25107.88,2020,1763451179984.032
123,marzo,3784.69,3235.97,14555.25,2025,1763451179984.032
75,marzo,11920.57,1801.2,19284.56,2021,1763451179984.032
128,agosto,3889.14,3236.96,14062.79,2025,1763451179984.032
126,junio,3399.61,2910.57,13256.98,2025,1763451179984.032
99,marzo,6431.86,4023.3,18344.22,2023,1763451179984.032
41,mayo,15162.0,2966.52,22313.88,2018,1763451179984.032
46,octubre,14137.0,4273.68,24665.32,2018,1763451179984.032
53,mayo,10842.0,4215.09,19551.04,2019,1763451179984.032
32,agosto,17183.0,4113.32,24988.47,2017,1763451179984.032
7,julio,15019.0,3771.25,15753.49,2015,1763451179984.032
100,abril,6418.24,3420.42,18436.95,2023,1763451179984.032
38,febrero,14291.0,4189.86,23346.57,2018,1763451179984.032
12,diciembre,17425.0,3975.51,21852.69,2015,1763451179984.032
78,junio,10892.71,1559.87,20034.76,2021,1763451179984.032
24,diciembre,14223.0,3988.17,22745.68,2016,1763451179984.032
25,enero,10139.0,4361.48,21030.69,2017,1763451179984.032
122,febrero,3562.84,2904.88,12854.07,2025,1763451179984.032
94,octubre,6757.23,3120.86,16646.02,2022,1763451179984.032
49,enero,9213.0,3927.05,18612.79,2019,1763451179984.032
47,noviembre,11145.0,3655.94,19547.84,2018,1763451179984.032
20,agosto,16075.0,4370.97,25808.34,2016,1763451179984.032
