id,meses,vol_mensual,gestion,created_at,updated_at
22,noviembre,3101.22,2024,1763382900314.606,1763382900314.606
19,agosto,2728.85,2024,1763382900314.606,1763382900314.606
29,junio,0.0,2025,1763382900314.606,1763382900314.606
4,2016,122533.4,2016,1763382900314.606,1763382900314.606
10,2022,132798.93,2022,1763382900314.606,1763382900314.606
35,diciembre,0.0,2025,1763382900314.606,1763382900314.606
6,2018,102527.41,2018,1763382900314.606,1763382900314.606
13,febrero,6416.01,2024,1763382900314.606,1763382900314.606
18,julio,158.93,2024,1763382900314.606,1763382900314.606
27,abril,0.0,2025,1763382900314.606,1763382900314.606
11,2023,76691.54,2023,1763382900314.606,1763382900314.606
9,2021,134040.35,2021,1763382900314.606,1763382900314.606
30,julio,0.0,2025,1763382900314.606,1763382900314.606
21,octubre,2399.02,2024,1763382900314.606,1763382900314.606
34,noviembre,0.0,2025,1763382900314.606,1763382900314.606
32,septiembre,0.0,2025,1763382900314.606,1763382900314.606
12,enero,8028.68,2024,1763382900314.606,1763382900314.606
33,octubre,0.0,2025,1763382900314.606,1763382900314.606
23,diciembre,3112.78,2024,1763382900314.606,1763382900314.606
15,abril,1171.04,2024,1763382900314.606,1763382900314.606
5,2017,110926.99,2017,1763382900314.606,1763382900314.606
31,agosto,684.42,2025,1763382900314.606,1763382900314.606
14,marzo,4693.74,2024,1763382900314.606,1763382900314.606
7,2019,125980.95,2019,1763382900314.606,1763382900314.606
20,septiembre,2707.16,2024,1763382900314.606,1763382900314.606
8,2020,101473.92,2020,1763382900314.606,1763382900314.606
26,marzo,0.0,2025,1763382900314.606,1763382900314.606
17,junio,2842.81,2024,1763382900314.606,1763382900314.606
28,mayo,0.0,2025,1763382900314.606,1763382900314.606
16,mayo,3910.7,2024,1763382900314.606,1763382900314.606
24,enero,2152.0,2025,1763382900314.606,1763382900314.606
25,febrero,0.0,2025,1763382900314.606,1763382900314.606
