id,gestion,meses,mppt,ptt20,ptt32,ptt40,ptt50,ptt63,ptt75,ptt90,ptt110,ptt125,pttg,merna,ivtg,created_at,updated_at
54,2025,Junio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1763443736597.157,1763443736597.157
29,2023,Mayo ,172.66,33000.0,0.0,155200.0,0.0,93000.0,0.0,0.0,0.0,0.0,171.72,0.94,2424.0,1763443736597.157,1763443736597.157
4,2021,Abril,5.66,0.0,0.0,10400.0,0.0,1200.0,0.0,0.0,0.0,0.0,5.55,0.11,5331373.68,1763443736597.157,1763443736597.157
34,2023,Octubre,179.98,44000.0,0.0,97200.0,0.0,62700.0,0.0,24600.0,1800.0,1536.0,177.06,2.92,4400.0,1763443736597.157,1763443736597.157
51,2025,Marzo,153.03,25000.0,0.0,159400.0,0.0,0.0,0.0,0.0,0.0,19056.0,152.33,0.7,38483840.0,1763443736597.157,1763443736597.157
52,2025,Abril,74.64,0.0,0.0,10800.0,0.0,46000.0,0.0,10750.0,0.0,0.0,74.47,0.17,0.0,1763443736597.157,1763443736597.157
10,2021,Octubre,83.31,139200.0,2000.0,132600.0,0.0,0.0,0.0,0.0,0.0,0.0,81.16,2.15,8564696.3,1763443736597.157,1763443736597.157
35,2023,Noviembre,77.09,0.0,0.0,105600.0,0.0,300.0,0.0,14050.0,0.0,0.0,76.1,0.99,14998862.0,1763443736597.157,1763443736597.157
45,2024,Septiembre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4848.0,1763443736597.157,1763443736597.157
6,2021,Junio,150.18,0.0,2000.0,262800.0,1000.0,0.0,0.0,1600.0,0.0,0.0,148.63,1.55,0.0,1763443736597.157,1763443736597.157
39,2024,Marzo,85.42,0.0,0.0,183200.0,0.0,1700.0,0.0,250.0,120.0,120.0,84.61,0.81,2820.0,1763443736597.157,1763443736597.157
36,2023,Diciembre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12565.0,1763443736597.157,1763443736597.157
31,2023,Julio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13803456.0,1763443736597.157,1763443736597.157
50,2025,Febrero,186.01,0.0,0.0,220400.0,0.0,27000.0,0.0,23200.0,0.0,2676.0,185.3,0.71,0.0,1763443736597.157,1763443736597.157
60,2025,Diciembre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1763443736597.157,1763443736597.157
