id,meses,conversiones,gestion,created_at,updated_at
22,febrero,1025,2025,1763384724025.2769,1763384724025.2769
19,noviembre,1305,2024,1763384724025.2769,1763384724025.2769
29,septiembre,1174,2025,1763384724025.2769,1763384724025.2769
4,2019,13866,2019,1763384724025.2769,1763384724025.2769
10,febrero,1937,2024,1763384724025.2769,1763384724025.2769
6,2021,10955,2021,1763384724025.2769,1763384724025.2769
13,mayo,1182,2024,1763384724025.2769,1763384724025.2769
2,2017,15215,2017,1763384724025.2769,1763384724025.2769
18,octubre,986,2024,1763384724025.2769,1763384724025.2769
27,julio,1432,2025,1763384724025.2769,1763384724025.2769
11,marzo,1855,2024,1763384724025.2769,1763384724025.2769
9,enero,425,2024,1763384724025.2769,1763384724025.2769
21,enero,295,2025,1763384724025.2769,1763384724025.2769
3,2018,13925,2018,1763384724025.2769,1763384724025.2769
12,abril,1557,2024,1763384724025.2769,1763384724025.2769
23,marzo,1347,2025,1763384724025.2769,1763384724025.2769
15,julio,1246,2024,1763384724025.2769,1763384724025.2769
5,2020,2191,2020,1763384724025.2769,1763384724025.2769
14,junio,1244,2024,1763384724025.2769,1763384724025.2769
7,2022,15487,2022,1763384724025.2769,1763384724025.2769
20,diciembre,387,2024,1763384724025.2769,1763384724025.2769
1,2016,10551,2016,1763384724025.2769,1763384724025.2769
8,2023,9283,2023,1763384724025.2769,1763384724025.2769
26,junio,2352,2025,1763384724025.2769,1763384724025.2769
17,septiembre,783,2024,1763384724025.2769,1763384724025.2769
28,agosto,1115,2025,1763384724025.2769,1763384724025.2769
16,agosto,1417,2024,1763384724025.2769,1763384724025.2769
24,abril,1014,2025,1763384724025.2769,1763384724025.2769
25,mayo,969,2025,1763384724025.2769,1763384724025.2769
