id,gestion,mes,saldo_anterior,produccion,entregado,boil_off_gas,saldo_actual,created_at,updated_at
81,2022,septiembre,436.38,1333.24,1125.96,0.0,643.66,1763040464030.087,1763040464030.087
61,2021,enero,661.99,592.33,821.36,52.43,380.53,1763040464030.087,1763040464030.087
19,2017,julio,519.0,265.39,401.27,34.53,348.59,1763040464030.087,1763040464030.087
77,2022,mayo,212.69,1366.17,930.31,0.0,648.55,1763040464030.087,1763040464030.087
30,2018,junio,381.34,767.43,478.26,18.66,651.85,1763040464030.087,1763040464030.087
21,2017,septiembre,700.9,0.0,398.72,62.9,239.28,1763040464030.087,1763040464030.087
3,2016,marzo,820.95,0.0,20.85,306.2,493.9,1763040464030.087,1763040464030.087
17,2017,mayo,130.79,336.41,257.43,25.58,184.18,1763040464030.087,1763040464030.087
37,2019,enero,638.3,372.19,567.7,45.74,397.05,1763040464030.087,1763040464030.087
28,2018,abril,293.05,1045.14,514.49,0.0,823.7,1763040464030.087,1763040464030.087
104,2024,agosto,772.77,1228.79,1355.09,0.0,646.47,1763040464030.087,1763040464030.087
5,2016,mayo,317.14,0.0,50.03,47.54,219.57,1763040464030.087,1763040464030.087
56,2020,agosto,811.41,175.84,654.96,66.37,265.92,1763040464030.087,1763040464030.087
91,2023,julio,741.57,1353.02,1294.21,6.15,794.23,1763040464030.087,1763040464030.087
74,2022,febrero,885.84,591.4,918.93,57.88,500.43,1763040464030.087,1763040464030.087
54,2020,junio,768.75,471.54,606.26,42.11,591.92,1763040464030.087,1763040464030.087
29,2018,mayo,823.7,209.54,591.96,59.94,381.34,1763040464030.087,1763040464030.087
4,2016,abril,493.9,0.0,72.96,103.8,317.14,1763040464030.087,1763040464030.087
34,2018,octubre,451.2,646.26,522.2,22.66,552.6,1763040464030.087,1763040464030.087
96,2023,diciembre,315.74,1426.52,1261.43,0.0,480.83,1763040464030.087,1763040464030.087
83,2022,noviembre,845.42,622.09,996.19,49.58,421.74,1763040464030.087,1763040464030.087
67,2021,julio,546.37,1259.86,972.33,0.0,833.9,1763040464030.087,1763040464030.087
63,2021,marzo,747.43,375.04,783.81,65.69,272.97,1763040464030.087,1763040464030.087
90,2023,junio,683.02,1314.18,1255.63,0.0,741.57,1763040464030.087,1763040464030.087
10,2016,octubre,436.02,209.41,70.45,103.75,471.23,1763040464030.087,1763040464030.087
105,2024,septiembre,646.47,1304.67,1277.56,0.0,673.58,1763040464030.087,1763040464030.087
35,2018,noviembre,552.6,773.54,538.48,7.85,779.81,1763040464030.087,1763040464030.087
45,2019,septiembre,574.52,897.59,769.3,20.85,681.96,1763040464030.087,1763040464030.087
107,2024,noviembre,451.21,1329.19,1376.31,0.0,404.09,1763040464030.087,1763040464030.087
6,2016,junio,219.57,401.98,101.1,39.83,480.62,1763040464030.087,1763040464030.087
86,2023,febrero,620.26,1186.61,1027.98,0.0,778.89,1763040464030.087,1763040464030.087
