gestion,mes,mes_corto,mes_str,departamento,gas_natural,petroleo,glp_tmd
2023,11,Nov,11-Nov,TJ,15.46053192808,11.761363,0.7182666666666667
2025,9,Sep,09-Sep,SC,10.124905869455,9.214405333333332,37.41516666666667
2010,5,May,05-May,CH,1.9900287481306451,1.2838709677419355,172.93870967741935
2025,7,Jul,07-Jul,TJ,12.900437063941935,9.035784193548388,4.618354838709678
2024,8,Ago,08-Ago,CB,0.41824992241451614,1.1062512903225807,44.84116129032258
2016,12,Dic,12-Dic,SC,10.356742649462905,7.890619677419356,103.59845161290323
2014,9,Sep,09-Sep,TJ,40.774393200110005,43.505395,0.0
2024,6,Jun,06-Jun,TJ,14.493067869930002,10.844504,4.078833333333334
2022,11,Nov,11-Nov,CH,6.653698026735,6.457974333333334,16.8691
2008,4,Abr,04-Abr,TJ,27.554132813565,29.349933333333336,0.0
2022,7,Jul,07-Jul,CB,0.579188282666129,1.5502867741935482,56.91864516129032
2021,2,Feb,02-Feb,SC,15.801585058639287,13.840164285714287,66.6845
2020,4,Abr,04-Abr,CB,0.966460697765,2.4949223333333337,92.54006666666668
2014,6,Jun,06-Jun,CB,2.010895617585,5.5966070000000006,136.94993333333335
2024,2,Feb,02-Feb,CB,0.4954052436362069,1.2631355172413794,45.31313793103448
2015,7,Jul,07-Jul,TJ,40.408258217400004,42.50048516129032,0.0
2007,6,Jun,06-Jun,TJ,28.029592546860002,30.993166666666664,0.0
2016,6,Jun,06-Jun,SC,10.013529091139999,6.334251666666668,122.6315
2010,10,Oct,10-Oct,SC,8.124104265000001,5.339096774193548,101.84516129032258
2018,10,Oct,10-Oct,TJ,28.346388128337097,26.48560580645161,0.40587096774193543
2015,8,Ago,08-Ago,CH,6.802754180003227,7.773176451612903,115.80332258064516
2011,4,Abr,04-Abr,SC,8.001425287955,5.3885000000000005,102.01333333333332
2018,11,Nov,11-Nov,CH,4.498940540515,5.089792666666666,24.962266666666668
2017,7,Jul,07-Jul,SC,16.92224729880484,13.7643664516129,113.1891935483871
2020,5,May,05-May,CH,3.4767428429999994,3.855339677419355,21.69751612903226
2018,7,Jul,07-Jul,CH,6.6880654568225815,7.816667096774193,36.4128064516129
2016,6,Jun,06-Jun,CB,1.656108140565,4.083469,147.09406666666666
2023,3,Mar,03-Mar,CB,0.5624511974225807,1.4602748387096773,57.759838709677425
2013,7,Jul,07-Jul,CB,2.267806085269355,5.585241612903226,189.03496774193547
2021,11,Nov,11-Nov,CB,0.6545826874449999,1.7985466666666667,66.88889999999999
2011,9,Sep,09-Sep,CH,1.7215568759700002,1.2211666666666667,173.27
2023,1,Ene,01-Ene,TJ,17.13595182541452,13.576560322580644,0.1511290322580645
2009,12,Dic,12-Dic,SC,4.650311855080646,4.403354838709677,84.36129032258064
