gobierno,gestion,mes,mes_abrev,mes_str,fecha,tipo_regalias_2,tipo_regalia,region,monto
Tarija,2021,11,Nov,11-Nov,1635724800000.0,Regalia,Regalia Departamental,Tarija,6.44250108
Pando,2019,10,Oct,10-Oct,1569888000000.0,Regalia,Regalia Compensatoria,Pando,0.90378953
Chuquisaca,2008,10,Oct,10-Oct,1222819200000.0,Regalia,Regalia Departamental,Chuquisaca,2.221086
Tarija,2011,1,Ene,01-Ene,1293840000000.0,Regalia,Regalia Departamental,Tarija,12.86365687
IDH,2010,7,Jul,07-Jul,1277942400000.0,IDH,IDH,IDH,74.689742
IDH,2016,10,Oct,10-Oct,1475280000000.0,IDH,IDH,IDH,63.153261
Tarija,2022,4,Abr,04-Abr,1648771200000.0,Regalia,Regalia Departamental,Gran Chaco,5.76803629
Pando,2008,7,Jul,07-Jul,1214870400000.0,Regalia,Regalia Compensatoria,Pando,0.0
Santa Cruz,2015,8,Ago,08-Ago,1438387200000.0,Regalia,Regalia Departamental,Santa Cruz,5.35638934
Tarija,2016,6,Jun,06-Jun,1464739200000.0,Regalia,Regalia Departamental,Tarija,5.15671141
Santa Cruz,2022,10,Oct,10-Oct,1664582400000.0,Regalia,Regalia Departamental,Santa Cruz,15.30237346
Pando,2012,8,Ago,08-Ago,1343779200000.0,Regalia,Regalia Compensatoria,Pando,2.03499023
Cochabamba,2019,12,Dic,12-Dic,1575158400000.0,Regalia,Regalia Departamental,Cochabamba,0.98623767
TGN,2008,5,May,05-May,1209600000000.0,Participacion,Participacion TGN,TGN,6.57314756
IDH,2019,9,Sep,09-Sep,1567296000000.0,IDH,IDH,IDH,80.976689
Tarija,2008,8,Ago,08-Ago,1217548800000.0,Regalia,Regalia Departamental,Gran Chaco,
Chuquisaca,2012,1,Ene,01-Ene,1325376000000.0,Regalia,Regalia Departamental,Chuquisaca,1.93356988
Tarija,2016,1,Ene,01-Ene,1451606400000.0,Regalia,Regalia Departamental,Gran Chaco,12.11165109
Beni,2013,11,Nov,11-Nov,1383264000000.0,Regalia,Regalia Compensatoria,Beni,4.06364247
IDH,2021,12,Dic,12-Dic,1638316800000.0,IDH,IDH,IDH,70.256322
Beni,2011,7,Jul,07-Jul,1309478400000.0,Regalia,Regalia Compensatoria,Beni,2.07825476
Beni,2009,9,Sep,09-Sep,1251763200000.0,Regalia,Regalia Compensatoria,Beni,1.43737929
Santa Cruz,2015,6,Jun,06-Jun,1433116800000.0,Regalia,Regalia Departamental,Santa Cruz,9.17387422
TGN,2015,6,Jun,06-Jun,1433116800000.0,Participacion,Participacion TGN,TGN,28.28443693
IDH,2016,9,Sep,09-Sep,1472688000000.0,IDH,IDH,IDH,61.430068
IDH,2011,10,Oct,10-Oct,1317427200000.0,IDH,IDH,IDH,140.848778
TGN,2016,8,Ago,08-Ago,1470009600000.0,Participacion,Participacion TGN,TGN,7.06727142
Pando,2016,4,Abr,04-Abr,1459468800000.0,Regalia,Regalia Compensatoria,Pando,0.98007295
Santa Cruz,2018,7,Jul,07-Jul,1530403200000.0,Regalia,Regalia Departamental,Santa Cruz,9.38208566
Chuquisaca,2010,9,Sep,09-Sep,1283299200000.0,Regalia,Regalia Departamental,Chuquisaca,1.64034999
Tarija,2019,3,Mar,03-Mar,1551398400000.0,Regalia,Regalia Departamental,Tarija,5.74515202
Tarija,2020,1,Ene,01-Ene,1577836800000.0,Regalia,Regalia Departamental,Tarija,9.26511438
TGN,2006,10,Oct,10-Oct,1159660800000.0,Participacion,Participacion TGN,TGN,12.29647464
Cochabamba,2014,7,Jul,07-Jul,1404172800000.0,Regalia,Regalia Departamental,Cochabamba,2.48428108
Cochabamba,2024,8,Ago,08-Ago,1722470400000.0,Regalia,Regalia Departamental,Cochabamba,0.35853048
Beni,2025,8,Ago,08-Ago,1754006400000.0,Regalia,Regalia Compensatoria,Beni,0.74524308
Beni,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Compensatoria,Beni,1.869832
Beni,2021,11,Nov,11-Nov,1635724800000.0,Regalia,Regalia Compensatoria,Beni,1.54845195
Chuquisaca,2025,5,May,05-May,1746057600000.0,Regalia,Regalia Departamental,Chuquisaca,1.78811641
Pando,2011,6,Jun,06-Jun,1306886400000.0,Regalia,Regalia Compensatoria,Pando,0.87949518
Tarija,2006,1,Ene,01-Ene,1136073600000.0,Regalia,Regalia Departamental,Gran Chaco,
Tarija,2025,2,Feb,02-Feb,1738368000000.0,Regalia,Regalia Departamental,Gran Chaco,2.94728007
Cochabamba,2018,12,Dic,12-Dic,1543622400000.0,Regalia,Regalia Departamental,Cochabamba,1.02974536
TGN,2016,11,Nov,11-Nov,1477958400000.0,Participacion,Participacion TGN,TGN,12.57147837
Cochabamba,2006,7,Jul,07-Jul,1151712000000.0,Regalia,Regalia Departamental,Cochabamba,2.73710147
IDH,2025,7,Jul,07-Jul,1751328000000.0,IDH,IDH,IDH,34.25098148
Santa Cruz,2009,11,Nov,11-Nov,1257033600000.0,Regalia,Regalia Departamental,Santa Cruz,3.6323456
Tarija,2014,10,Oct,10-Oct,1412121600000.0,Regalia,Regalia Departamental,Gran Chaco,20.00584401
Beni,2019,5,May,05-May,1556668800000.0,Regalia,Regalia Compensatoria,Beni,1.97066877
IDH,2015,11,Nov,11-Nov,1446336000000.0,IDH,IDH,IDH,112.093257
Beni,2011,2,Feb,02-Feb,1296518400000.0,Regalia,Regalia Compensatoria,Beni,2.03798121
Chuquisaca,2021,11,Nov,11-Nov,1635724800000.0,Regalia,Regalia Departamental,Chuquisaca,3.1152551
Cochabamba,2023,12,Dic,12-Dic,1701388800000.0,Regalia,Regalia Departamental,Cochabamba,0.37924582
IDH,2020,3,Mar,03-Mar,1583020800000.0,IDH,IDH,IDH,76.845096
Tarija,2019,12,Dic,12-Dic,1575158400000.0,Regalia,Regalia Departamental,Gran Chaco,6.07705927
Beni,2018,3,Mar,03-Mar,1519862400000.0,Regalia,Regalia Compensatoria,Beni,1.76204095
Pando,2018,6,Jun,06-Jun,1527811200000.0,Regalia,Regalia Compensatoria,Pando,0.99569486
Tarija,2019,12,Dic,12-Dic,1575158400000.0,Regalia,Regalia Departamental,Tarija,7.42751688
Santa Cruz,2017,2,Feb,02-Feb,1485907200000.0,Regalia,Regalia Departamental,Santa Cruz,6.78493097
Pando,2024,5,May,05-May,1714521600000.0,Regalia,Regalia Compensatoria,Pando,0.52586004
TGN,2024,12,Dic,12-Dic,1733011200000.0,Participacion,Participacion TGN,TGN,8.08524476
Beni,2012,1,Ene,01-Ene,1325376000000.0,Regalia,Regalia Compensatoria,Beni,3.80688066
Tarija,2009,5,May,05-May,1241136000000.0,Regalia,Regalia Departamental,Tarija,15.01048391
Cochabamba,2012,5,May,05-May,1335830400000.0,Regalia,Regalia Departamental,Cochabamba,3.31931203
Santa Cruz,2020,11,Nov,11-Nov,1604188800000.0,Regalia,Regalia Departamental,Santa Cruz,7.52883931
Santa Cruz,2019,2,Feb,02-Feb,1548979200000.0,Regalia,Regalia Departamental,Santa Cruz,7.56908839
Tarija,2019,6,Jun,06-Jun,1559347200000.0,Regalia,Regalia Departamental,Tarija,6.39220668
Cochabamba,2007,12,Dic,12-Dic,1196467200000.0,Regalia,Regalia Departamental,Cochabamba,3.31452995
IDH,2017,5,May,05-May,1493596800000.0,IDH,IDH,IDH,59.386576
Beni,2024,4,Abr,04-Abr,1711929600000.0,Regalia,Regalia Compensatoria,Beni,1.20394905
Tarija,2015,8,Ago,08-Ago,1438387200000.0,Regalia,Regalia Departamental,Gran Chaco,8.96491293
IDH,2023,4,Abr,04-Abr,1680307200000.0,IDH,IDH,IDH,74.852801
IDH,2007,6,Jun,06-Jun,1180656000000.0,IDH,IDH,IDH,59.12210377
IDH,2007,9,Sep,09-Sep,1188604800000.0,IDH,IDH,IDH,64.24093924
Cochabamba,2023,5,May,05-May,1682899200000.0,Regalia,Regalia Departamental,Cochabamba,0.48097534
IDH,2021,8,Ago,08-Ago,1627776000000.0,IDH,IDH,IDH,70.983438
Tarija,2022,1,Ene,01-Ene,1640995200000.0,Regalia,Regalia Departamental,Gran Chaco,5.09727957
Beni,2010,12,Dic,12-Dic,1291161600000.0,Regalia,Regalia Compensatoria,Beni,2.02215744
TGN,2020,1,Ene,01-Ene,1577836800000.0,Participacion,Participacion TGN,TGN,18.36300087
Chuquisaca,2018,11,Nov,11-Nov,1541030400000.0,Regalia,Regalia Departamental,Chuquisaca,4.8394584
Chuquisaca,2011,8,Ago,08-Ago,1312156800000.0,Regalia,Regalia Departamental,Chuquisaca,1.80692568
IDH,2010,2,Feb,02-Feb,1264982400000.0,IDH,IDH,IDH,57.674432
Chuquisaca,2023,10,Oct,10-Oct,1696118400000.0,Regalia,Regalia Departamental,Chuquisaca,3.73432396
IDH,2007,5,May,05-May,1177977600000.0,IDH,IDH,IDH,56.12920673
Tarija,2006,9,Sep,09-Sep,1157068800000.0,Regalia,Regalia Departamental,Gran Chaco,
Beni,2009,8,Ago,08-Ago,1249084800000.0,Regalia,Regalia Compensatoria,Beni,1.45197106
Pando,2006,9,Sep,09-Sep,1157068800000.0,Regalia,Regalia Compensatoria,Pando,0.69664352
Tarija,2025,11,Nov,11-Nov,1761955200000.0,Regalia,Regalia Departamental,Gran Chaco,3.27622841
Santa Cruz,2019,5,May,05-May,1556668800000.0,Regalia,Regalia Departamental,Santa Cruz,10.42410091
TGN,2011,10,Oct,10-Oct,1317427200000.0,Participacion,Participacion TGN,TGN,21.61762522
TGN,2009,1,Ene,01-Ene,1230768000000.0,Participacion,Participacion TGN,TGN,21.58281145
Tarija,2015,2,Feb,02-Feb,1422748800000.0,Regalia,Regalia Departamental,Gran Chaco,10.32455652
Santa Cruz,2010,1,Ene,01-Ene,1262304000000.0,Regalia,Regalia Departamental,Santa Cruz,3.46711511
IDH,2011,1,Ene,01-Ene,1293840000000.0,IDH,IDH,IDH,97.829773
IDH,2008,9,Sep,09-Sep,1220227200000.0,IDH,IDH,IDH,88.42681793
IDH,2024,1,Ene,01-Ene,1704067200000.0,IDH,IDH,IDH,62.052882
TGN,2016,7,Jul,07-Jul,1467331200000.0,Participacion,Participacion TGN,TGN,3.09387432
IDH,2022,6,Jun,06-Jun,1654041600000.0,IDH,IDH,IDH,86.859949
IDH,2017,11,Nov,11-Nov,1509494400000.0,IDH,IDH,IDH,92.16472
Beni,2007,8,Ago,08-Ago,1185926400000.0,Regalia,Regalia Compensatoria,Beni,1.45733107
Chuquisaca,2022,6,Jun,06-Jun,1654041600000.0,Regalia,Regalia Departamental,Chuquisaca,3.66297384
IDH,2020,9,Sep,09-Sep,1598918400000.0,IDH,IDH,IDH,62.836117
Tarija,2006,7,Jul,07-Jul,1151712000000.0,Regalia,Regalia Departamental,Gran Chaco,
