gobierno,gestion,mes,mes_abrev,mes_str,fecha,tipo_regalias_2,tipo_regalia,region,monto
Chuquisaca,2024,4,Abr,04-Abr,1711929600000.0,Regalia,Regalia Departamental,Chuquisaca,3.00627543
Tarija,2011,10,Oct,10-Oct,1317427200000.0,Regalia,Regalia Departamental,Gran Chaco,12.01653024
IDH,2023,10,Oct,10-Oct,1696118400000.0,IDH,IDH,IDH,64.528858
Chuquisaca,2009,2,Feb,02-Feb,1233446400000.0,Regalia,Regalia Departamental,Chuquisaca,2.43439916
Tarija,2007,8,Ago,08-Ago,1185926400000.0,Regalia,Regalia Departamental,Gran Chaco,
Santa Cruz,2023,5,May,05-May,1682899200000.0,Regalia,Regalia Departamental,Santa Cruz,8.84559994
Beni,2007,11,Nov,11-Nov,1193875200000.0,Regalia,Regalia Compensatoria,Beni,1.4115198
Beni,2012,7,Jul,07-Jul,1341100800000.0,Regalia,Regalia Compensatoria,Beni,2.41074916
Pando,2009,10,Oct,10-Oct,1254355200000.0,Regalia,Regalia Compensatoria,Pando,0.72615241
IDH,2019,10,Oct,10-Oct,1569888000000.0,IDH,IDH,IDH,86.763795
Tarija,2024,6,Jun,06-Jun,1717200000000.0,Regalia,Regalia Departamental,Gran Chaco,4.00667375
Cochabamba,2009,11,Nov,11-Nov,1257033600000.0,Regalia,Regalia Departamental,Cochabamba,2.14545343
Tarija,2007,4,Abr,04-Abr,1175385600000.0,Regalia,Regalia Departamental,Gran Chaco,
Pando,2017,11,Nov,11-Nov,1509494400000.0,Regalia,Regalia Compensatoria,Pando,0.96004916
Chuquisaca,2020,2,Feb,02-Feb,1580515200000.0,Regalia,Regalia Departamental,Chuquisaca,4.21357234
Cochabamba,2012,11,Nov,11-Nov,1351728000000.0,Regalia,Regalia Departamental,Cochabamba,3.24473781
Tarija,2016,2,Feb,02-Feb,1454284800000.0,Regalia,Regalia Departamental,Gran Chaco,12.11165109
Tarija,2022,5,May,05-May,1651363200000.0,Regalia,Regalia Departamental,Gran Chaco,5.32641079
Tarija,2018,2,Feb,02-Feb,1517443200000.0,Regalia,Regalia Departamental,Tarija,8.11121868
Santa Cruz,2020,2,Feb,02-Feb,1580515200000.0,Regalia,Regalia Departamental,Santa Cruz,12.05903504
Santa Cruz,2016,5,May,05-May,1462060800000.0,Regalia,Regalia Departamental,Santa Cruz,3.01406439
Chuquisaca,2017,4,Abr,04-Abr,1491004800000.0,Regalia,Regalia Departamental,Chuquisaca,2.91720815
Cochabamba,2022,9,Sep,09-Sep,1661990400000.0,Regalia,Regalia Departamental,Cochabamba,0.54576687
Cochabamba,2016,2,Feb,02-Feb,1454284800000.0,Regalia,Regalia Departamental,Cochabamba,1.37636857
Beni,2022,8,Ago,08-Ago,1659312000000.0,Regalia,Regalia Compensatoria,Beni,1.89104897
La Paz,2024,6,Jun,06-Jun,1717200000000.0,Regalia,Regalia Departamental,La Paz,8.826e-05
Chuquisaca,2013,3,Mar,03-Mar,1362096000000.0,Regalia,Regalia Departamental,Chuquisaca,4.32561352
IDH,2018,2,Feb,02-Feb,1517443200000.0,IDH,IDH,IDH,82.801942
Tarija,2023,2,Feb,02-Feb,1675209600000.0,Regalia,Regalia Departamental,Tarija,6.10768466
IDH,2022,5,May,05-May,1651363200000.0,IDH,IDH,IDH,77.470046
Santa Cruz,2014,6,Jun,06-Jun,1401580800000.0,Regalia,Regalia Departamental,Santa Cruz,11.24338069
Tarija,2008,3,Mar,03-Mar,1204329600000.0,Regalia,Regalia Departamental,Tarija,20.31402528
Tarija,2018,3,Mar,03-Mar,1519862400000.0,Regalia,Regalia Departamental,Gran Chaco,6.68918733
Tarija,2023,6,Jun,06-Jun,1685577600000.0,Regalia,Regalia Departamental,Gran Chaco,4.63094727
Chuquisaca,2023,8,Ago,08-Ago,1690848000000.0,Regalia,Regalia Departamental,Chuquisaca,3.03744277
Cochabamba,2015,11,Nov,11-Nov,1446336000000.0,Regalia,Regalia Departamental,Cochabamba,1.2353806
Chuquisaca,2006,9,Sep,09-Sep,1157068800000.0,Regalia,Regalia Departamental,Chuquisaca,0.80957786
TGN,2017,12,Dic,12-Dic,1512086400000.0,Participacion,Participacion TGN,TGN,16.29628673
Pando,2009,9,Sep,09-Sep,1251763200000.0,Regalia,Regalia Compensatoria,Pando,0.71868964
IDH,2022,12,Dic,12-Dic,1669852800000.0,IDH,IDH,IDH,95.226735
Chuquisaca,2025,9,Sep,09-Sep,1756684800000.0,Regalia,Regalia Departamental,Chuquisaca,1.86978747
Cochabamba,2019,3,Mar,03-Mar,1551398400000.0,Regalia,Regalia Departamental,Cochabamba,1.11710513
IDH,2018,1,Ene,01-Ene,1514764800000.0,IDH,IDH,IDH,90.087528
Pando,2022,7,Jul,07-Jul,1656633600000.0,Regalia,Regalia Compensatoria,Pando,0.88761882
TGN,2025,9,Sep,09-Sep,1756684800000.0,Participacion,Participacion TGN,TGN,7.30557157
Pando,2022,8,Ago,08-Ago,1659312000000.0,Regalia,Regalia Compensatoria,Pando,0.94552449
Pando,2013,8,Ago,08-Ago,1375315200000.0,Regalia,Regalia Compensatoria,Pando,2.65522578
Cochabamba,2022,3,Mar,03-Mar,1646092800000.0,Regalia,Regalia Departamental,Cochabamba,0.47169626
Tarija,2016,12,Dic,12-Dic,1480550400000.0,Regalia,Regalia Departamental,Tarija,7.4056119
IDH,2012,1,Ene,01-Ene,1325376000000.0,IDH,IDH,IDH,137.242296
Tarija,2008,1,Ene,01-Ene,1199145600000.0,Regalia,Regalia Departamental,Gran Chaco,
TGN,2012,10,Oct,10-Oct,1349049600000.0,Participacion,Participacion TGN,TGN,31.8963707
Tarija,2017,12,Dic,12-Dic,1512086400000.0,Regalia,Regalia Departamental,Gran Chaco,7.07045184
TGN,2010,9,Sep,09-Sep,1283299200000.0,Participacion,Participacion TGN,TGN,17.95013093
Chuquisaca,2018,5,May,05-May,1525132800000.0,Regalia,Regalia Departamental,Chuquisaca,3.83747693
La Paz,2025,11,Nov,11-Nov,1761955200000.0,Regalia,Regalia Departamental,La Paz,2.354e-05
Chuquisaca,2017,7,Jul,07-Jul,1498867200000.0,Regalia,Regalia Departamental,Chuquisaca,3.55077804
Tarija,2014,9,Sep,09-Sep,1409529600000.0,Regalia,Regalia Departamental,Gran Chaco,20.96796669
Chuquisaca,2007,7,Jul,07-Jul,1183248000000.0,Regalia,Regalia Departamental,Chuquisaca,0.45136544
Beni,2024,3,Mar,03-Mar,1709251200000.0,Regalia,Regalia Compensatoria,Beni,1.28809615
IDH,2017,9,Sep,09-Sep,1504224000000.0,IDH,IDH,IDH,70.337151
Chuquisaca,2011,12,Dic,12-Dic,1322697600000.0,Regalia,Regalia Departamental,Chuquisaca,1.38047894
Santa Cruz,2018,12,Dic,12-Dic,1543622400000.0,Regalia,Regalia Departamental,Santa Cruz,11.23357609
Pando,2006,7,Jul,07-Jul,1151712000000.0,Regalia,Regalia Compensatoria,Pando,0.57819013
TGN,2014,5,May,05-May,1398902400000.0,Participacion,Participacion TGN,TGN,32.17000309
Pando,2010,5,May,05-May,1272672000000.0,Regalia,Regalia Compensatoria,Pando,0.77749151
TGN,2007,11,Nov,11-Nov,1193875200000.0,Participacion,Participacion TGN,TGN,12.70367829
Beni,2019,9,Sep,09-Sep,1567296000000.0,Regalia,Regalia Compensatoria,Beni,1.68701436
IDH,2021,2,Feb,02-Feb,1612137600000.0,IDH,IDH,IDH,61.118496
Tarija,2019,9,Sep,09-Sep,1567296000000.0,Regalia,Regalia Departamental,Tarija,7.34789644
TGN,2008,2,Feb,02-Feb,1201824000000.0,Participacion,Participacion TGN,TGN,14.38840868
Chuquisaca,2009,10,Oct,10-Oct,1254355200000.0,Regalia,Regalia Departamental,Chuquisaca,1.4264679
Cochabamba,2017,7,Jul,07-Jul,1498867200000.0,Regalia,Regalia Departamental,Cochabamba,1.00767392
Chuquisaca,2015,1,Ene,01-Ene,1420070400000.0,Regalia,Regalia Departamental,Chuquisaca,7.52372762
Pando,2025,2,Feb,02-Feb,1738368000000.0,Regalia,Regalia Compensatoria,Pando,0.47353822
Beni,2023,8,Ago,08-Ago,1690848000000.0,Regalia,Regalia Compensatoria,Beni,1.22044897
Santa Cruz,2023,2,Feb,02-Feb,1675209600000.0,Regalia,Regalia Departamental,Santa Cruz,10.78985716
TGN,2017,2,Feb,02-Feb,1485907200000.0,Participacion,Participacion TGN,TGN,13.82374277
Tarija,2009,9,Sep,09-Sep,1251763200000.0,Regalia,Regalia Departamental,Tarija,16.42786364
Chuquisaca,2013,6,Jun,06-Jun,1370044800000.0,Regalia,Regalia Departamental,Chuquisaca,5.77096548
Pando,2011,4,Abr,04-Abr,1301616000000.0,Regalia,Regalia Compensatoria,Pando,0.8508414
TGN,2019,3,Mar,03-Mar,1551398400000.0,Participacion,Participacion TGN,TGN,11.4158645
Tarija,2009,6,Jun,06-Jun,1243814400000.0,Regalia,Regalia Departamental,Tarija,16.04935684
TGN,2012,4,Abr,04-Abr,1333238400000.0,Participacion,Participacion TGN,TGN,28.81524663
IDH,2014,11,Nov,11-Nov,1414800000000.0,IDH,IDH,IDH,194.733841
Tarija,2013,10,Oct,10-Oct,1380585600000.0,Regalia,Regalia Departamental,Gran Chaco,19.59886095
TGN,2015,4,Abr,04-Abr,1427846400000.0,Participacion,Participacion TGN,TGN,27.10350949
Pando,2012,2,Feb,02-Feb,1328054400000.0,Regalia,Regalia Compensatoria,Pando,1.38004676
TGN,2025,2,Feb,02-Feb,1738368000000.0,Participacion,Participacion TGN,TGN,8.52368793
Beni,2013,4,Abr,04-Abr,1364774400000.0,Regalia,Regalia Compensatoria,Beni,3.06576913
Santa Cruz,2022,7,Jul,07-Jul,1656633600000.0,Regalia,Regalia Departamental,Santa Cruz,12.87978185
Cochabamba,2025,5,May,05-May,1746057600000.0,Regalia,Regalia Departamental,Cochabamba,0.34618664
Tarija,2017,5,May,05-May,1493596800000.0,Regalia,Regalia Departamental,Tarija,5.81094642
Cochabamba,2021,11,Nov,11-Nov,1635724800000.0,Regalia,Regalia Departamental,Cochabamba,0.48707545
IDH,2018,9,Sep,09-Sep,1535760000000.0,IDH,IDH,IDH,96.250388
TGN,2025,10,Oct,10-Oct,1759276800000.0,Participacion,Participacion TGN,TGN,7.45682411
Beni,2023,7,Jul,07-Jul,1688169600000.0,Regalia,Regalia Compensatoria,Beni,1.30689316
Cochabamba,2010,9,Sep,09-Sep,1283299200000.0,Regalia,Regalia Departamental,Cochabamba,2.72057389
Tarija,2018,5,May,05-May,1525132800000.0,Regalia,Regalia Departamental,Gran Chaco,6.53414352
Tarija,2010,1,Ene,01-Ene,1262304000000.0,Regalia,Regalia Departamental,Tarija,8.75498962
Beni,2019,8,Ago,08-Ago,1564617600000.0,Regalia,Regalia Compensatoria,Beni,1.61545712
TGN,2023,4,Abr,04-Abr,1680307200000.0,Participacion,Participacion TGN,TGN,14.03490018
Chuquisaca,2024,8,Ago,08-Ago,1722470400000.0,Regalia,Regalia Departamental,Chuquisaca,2.75810556
TGN,2019,6,Jun,06-Jun,1559347200000.0,Participacion,Participacion TGN,TGN,12.03903733
Tarija,2014,5,May,05-May,1398902400000.0,Regalia,Regalia Departamental,Gran Chaco,17.49816417
IDH,2014,2,Feb,02-Feb,1391212800000.0,IDH,IDH,IDH,176.692621
Tarija,2024,2,Feb,02-Feb,1706745600000.0,Regalia,Regalia Departamental,Tarija,4.81424629
Santa Cruz,2023,4,Abr,04-Abr,1680307200000.0,Regalia,Regalia Departamental,Santa Cruz,10.23757267
TGN,2007,8,Ago,08-Ago,1185926400000.0,Participacion,Participacion TGN,TGN,13.11597964
Tarija,2017,8,Ago,08-Ago,1501545600000.0,Regalia,Regalia Departamental,Tarija,9.35245045
Tarija,2018,9,Sep,09-Sep,1535760000000.0,Regalia,Regalia Departamental,Gran Chaco,7.72504506
Tarija,2007,2,Feb,02-Feb,1170288000000.0,Regalia,Regalia Departamental,Gran Chaco,
Pando,2021,1,Ene,01-Ene,1609459200000.0,Regalia,Regalia Compensatoria,Pando,0.61015067
Cochabamba,2021,2,Feb,02-Feb,1612137600000.0,Regalia,Regalia Departamental,Cochabamba,0.4367249
Chuquisaca,2021,2,Feb,02-Feb,1612137600000.0,Regalia,Regalia Departamental,Chuquisaca,2.63858771
Chuquisaca,2015,7,Jul,07-Jul,1435708800000.0,Regalia,Regalia Departamental,Chuquisaca,6.43773259
Tarija,2020,10,Oct,10-Oct,1601510400000.0,Regalia,Regalia Departamental,Gran Chaco,4.38104942
Cochabamba,2015,3,Mar,03-Mar,1425168000000.0,Regalia,Regalia Departamental,Cochabamba,2.00035722
Cochabamba,2010,1,Ene,01-Ene,1262304000000.0,Regalia,Regalia Departamental,Cochabamba,2.25761616
Pando,2008,6,Jun,06-Jun,1212278400000.0,Regalia,Regalia Compensatoria,Pando,0.0
Tarija,2013,3,Mar,03-Mar,1362096000000.0,Regalia,Regalia Departamental,Tarija,21.59275016
Tarija,2022,2,Feb,02-Feb,1643673600000.0,Regalia,Regalia Departamental,Gran Chaco,4.84564737
TGN,2022,1,Ene,01-Ene,1640995200000.0,Participacion,Participacion TGN,TGN,13.94066479
TGN,2012,6,Jun,06-Jun,1338508800000.0,Participacion,Participacion TGN,TGN,24.78294469
Chuquisaca,2021,10,Oct,10-Oct,1633046400000.0,Regalia,Regalia Departamental,Chuquisaca,3.48467929
Beni,2008,2,Feb,02-Feb,1201824000000.0,Regalia,Regalia Compensatoria,Beni,1.59871208
Tarija,2014,12,Dic,12-Dic,1417392000000.0,Regalia,Regalia Departamental,Gran Chaco,19.90505937
TGN,2018,1,Ene,01-Ene,1514764800000.0,Participacion,Participacion TGN,TGN,16.89141145
IDH,2024,6,Jun,06-Jun,1717200000000.0,IDH,IDH,IDH,59.931982
Pando,2023,5,May,05-May,1682899200000.0,Regalia,Regalia Compensatoria,Pando,0.68754733
Tarija,2020,4,Abr,04-Abr,1585699200000.0,Regalia,Regalia Departamental,Gran Chaco,7.0886506
Beni,2013,3,Mar,03-Mar,1362096000000.0,Regalia,Regalia Compensatoria,Beni,3.54404119
TGN,2025,11,Nov,11-Nov,1761955200000.0,Participacion,Participacion TGN,TGN,7.6761976
Tarija,2017,4,Abr,04-Abr,1491004800000.0,Regalia,Regalia Departamental,Tarija,6.48043159
Pando,2012,5,May,05-May,1335830400000.0,Regalia,Regalia Compensatoria,Pando,1.37361376
IDH,2025,6,Jun,06-Jun,1748736000000.0,IDH,IDH,IDH,43.584612
Beni,2009,12,Dic,12-Dic,1259625600000.0,Regalia,Regalia Compensatoria,Beni,1.20408682
Beni,2019,6,Jun,06-Jun,1559347200000.0,Regalia,Regalia Compensatoria,Beni,1.33767081
Chuquisaca,2012,12,Dic,12-Dic,1354320000000.0,Regalia,Regalia Departamental,Chuquisaca,4.32561352
IDH,2025,12,Dic,12-Dic,1764547200000.0,IDH,IDH,IDH,31.47981546
IDH,2015,3,Mar,03-Mar,1425168000000.0,IDH,IDH,IDH,164.89968
Cochabamba,2024,12,Dic,12-Dic,1733011200000.0,Regalia,Regalia Departamental,Cochabamba,0.24630232
Tarija,2018,6,Jun,06-Jun,1527811200000.0,Regalia,Regalia Departamental,Tarija,9.52940872
Santa Cruz,2010,11,Nov,11-Nov,1288569600000.0,Regalia,Regalia Departamental,Santa Cruz,6.53900254
Tarija,2010,11,Nov,11-Nov,1288569600000.0,Regalia,Regalia Departamental,Gran Chaco,10.6601295
Santa Cruz,2008,12,Dic,12-Dic,1228089600000.0,Regalia,Regalia Departamental,Santa Cruz,5.29924713
Santa Cruz,2023,12,Dic,12-Dic,1701388800000.0,Regalia,Regalia Departamental,Santa Cruz,7.61628308
Beni,2021,7,Jul,07-Jul,1625097600000.0,Regalia,Regalia Compensatoria,Beni,1.38975333
Pando,2014,6,Jun,06-Jun,1401580800000.0,Regalia,Regalia Compensatoria,Pando,1.84218822
Chuquisaca,2007,9,Sep,09-Sep,1188604800000.0,Regalia,Regalia Departamental,Chuquisaca,1.29235639
TGN,2012,3,Mar,03-Mar,1330560000000.0,Participacion,Participacion TGN,TGN,24.84084173
TGN,2018,10,Oct,10-Oct,1538352000000.0,Participacion,Participacion TGN,TGN,19.86471918
Pando,2009,6,Jun,06-Jun,1243814400000.0,Regalia,Regalia Compensatoria,Pando,0.73404398
Santa Cruz,2016,3,Mar,03-Mar,1456790400000.0,Regalia,Regalia Departamental,Santa Cruz,7.50289332
Tarija,2008,1,Ene,01-Ene,1199145600000.0,Regalia,Regalia Departamental,Tarija,16.82670339
Beni,2018,5,May,05-May,1525132800000.0,Regalia,Regalia Compensatoria,Beni,1.71709593
Beni,2020,10,Oct,10-Oct,1601510400000.0,Regalia,Regalia Compensatoria,Beni,1.21955089
TGN,2024,7,Jul,07-Jul,1719792000000.0,Participacion,Participacion TGN,TGN,10.46106495
Santa Cruz,2009,10,Oct,10-Oct,1254355200000.0,Regalia,Regalia Departamental,Santa Cruz,3.68121804
Chuquisaca,2020,9,Sep,09-Sep,1598918400000.0,Regalia,Regalia Departamental,Chuquisaca,2.67002025
